team_name,canonical_name,generated_team_key,reason
Mississippi State Bulldogs,Mississippi State Bulldogs,MSB,missing from normalization config keys
Mississippi Valley State Delta Devils,Mississippi Valley State Delta Devils,MVS,missing from normalization config keys
Missouri State Bears,Missouri State Bears,MSB2,missing from normalization config keys
Missouri Tigers,Missouri Tigers,MT3,missing from normalization config keys
Monmouth Hawks,Monmouth Hawks,MH2,missing from normalization config keys
Montana State Bobcats,Montana State Bobcats,MSB3,missing from normalization config keys
Morgan State Bears,Morgan State Bears,MSB4,missing from normalization config keys
Murray State Racers,Murray State Racers,MSR,missing from normalization config keys
NC State Wolfpack,NC State Wolfpack,NSW,missing from normalization config keys
Navy Midshipmen,Navy Midshipmen,NM,missing from normalization config keys
Nebraska Cornhuskers,Nebraska Cornhuskers,NC,missing from normalization config keys
Nevada Wolf Pack,Nevada Wolf Pack,NWP,missing from normalization config keys
New Hampshire Wildcats,New Hampshire Wildcats,NHW,missing from normalization config keys
New Mexico Lobos,New Mexico Lobos,NML,missing from normalization config keys
New Mexico State Aggies,New Mexico State Aggies,NMS,missing from normalization config keys
Nicholls Colonels,Nicholls Colonels,NC2,missing from normalization config keys
Nicholls State Colonels,Nicholls State Colonels,NSC,missing from normalization config keys
Norfolk State Spartans,Norfolk State Spartans,NSS,missing from normalization config keys
North Alabama Lions,North Alabama Lions,NAL,missing from normalization config keys
North Carolina A&T Aggies,North Carolina A&T Aggies,NCA,missing from normalization config keys
North Carolina Central Eagles,North Carolina Central Eagles,NCC,missing from normalization config keys
North Carolina Tar Heels,North Carolina Tar Heels,NCT,missing from normalization config keys
North Dakota Fighting Hawks,North Dakota Fighting Hawks,NDF,missing from normalization config keys
North Dakota State Bison,North Dakota State Bison,NDS,missing from normalization config keys
North Texas Mean Green,North Texas Mean Green,NTM,missing from normalization config keys
Northern Arizona Lumberjacks,Northern Arizona Lumberjacks,NAL2,missing from normalization config keys
Northern Colorado Bears,Northern Colorado Bears,NCB,missing from normalization config keys
Northern Illinois Huskies,Northern Illinois Huskies,NIH,missing from normalization config keys
Northern Iowa Panthers,Northern Iowa Panthers,NIP,missing from normalization config keys
Northwestern State Demons,Northwestern State Demons,NSD,missing from normalization config keys
Northwestern Wildcats,Northwestern Wildcats,NW,missing from normalization config keys
Notre Dame Fighting Irish,Notre Dame Fighting Irish,NDF2,missing from normalization config keys
Ohio Bobcats,Ohio Bobcats,OB,missing from normalization config keys
Ohio State Buckeyes,Ohio State Buckeyes,OSB,missing from normalization config keys
Oklahoma Sooners,Oklahoma Sooners,OS,missing from normalization config keys
Oklahoma State Cowboys,Oklahoma State Cowboys,OSC,missing from normalization config keys
Old Dominion Monarchs,Old Dominion Monarchs,ODM,missing from normalization config keys
Ole Miss Rebels,Ole Miss Rebels,OMR,missing from normalization config keys
Oregon Ducks,Oregon Ducks,OD,missing from normalization config keys
Oregon State Beavers,Oregon State Beavers,OSB2,missing from normalization config keys
Penn State Nittany Lions,Penn State Nittany Lions,PSN,missing from normalization config keys
Pittsburgh Panthers,Pittsburgh Panthers,PP,missing from normalization config keys
Portland State Vikings,Portland State Vikings,PSV,missing from normalization config keys
Prairie View A&M Panthers,Prairie View A&M Panthers,PVA,missing from normalization config keys
Purdue Boilermakers,Purdue Boilermakers,PB,missing from normalization config keys
Rhode Island Rams,Rhode Island Rams,RIR,missing from normalization config keys
Rice Owls,Rice Owls,RO,missing from normalization config keys
Richmond Spiders,Richmond Spiders,RS,missing from normalization config keys
Robert Morris Colonials,Robert Morris Colonials,RMC,missing from normalization config keys
Rutgers Scarlet Knights,Rutgers Scarlet Knights,RSK,missing from normalization config keys
SE Louisiana Lions,SE Louisiana Lions,SLL,missing from normalization config keys
SMU Mustangs,SMU Mustangs,SM,missing from normalization config keys
Sacramento State Hornets,Sacramento State Hornets,SSH,missing from normalization config keys
Sacred Heart Pioneers,Sacred Heart Pioneers,SHP,missing from normalization config keys
Sam Houston Bearkats,Sam Houston Bearkats,SHB,missing from normalization config keys
Sam Houston State Bearkats,Sam Houston State Bearkats,SHS,missing from normalization config keys
Samford Bulldogs,Samford Bulldogs,SB,missing from normalization config keys
San Diego State Aztecs,San Diego State Aztecs,SDS,missing from normalization config keys
San Jose State Spartans,San Jose State Spartans,SJS,missing from normalization config keys
San José State Spartans,San José State Spartans,SJS2,missing from normalization config keys
South Alabama Jaguars,South Alabama Jaguars,SAJ,missing from normalization config keys
South Carolina Gamecocks,South Carolina Gamecocks,SCG,missing from normalization config keys
South Carolina State Bulldogs,South Carolina State Bulldogs,SCS,missing from normalization config keys
South Dakota Coyotes,South Dakota Coyotes,SDC,missing from normalization config keys
South Dakota State Jackrabbits,South Dakota State Jackrabbits,SDS2,missing from normalization config keys
South Florida Bulls,South Florida Bulls,SFB,missing from normalization config keys
Southeast Missouri State Redhawks,Southeast Missouri State Redhawks,SMS,missing from normalization config keys
Southeastern Louisiana Lions,Southeastern Louisiana Lions,SLL2,missing from normalization config keys
