game_id,game_date,home_team,away_team,spread_pick,total_pick,spread_edge,total_edge,parlay_edge_score,spread_home_last,total_last,moneyline_home_last,confidence_tier,cluster_alignment,disagreement_flag,actionability
0022500028,2025-11-07T00:00:00Z,Orlando Magic,Boston Celtics,,,,,,,,,IGNORE,NONE,False,
0022500029,2025-11-07T00:00:00Z,Washington Wizards,Cleveland Cavaliers,,,,,,,,,IGNORE,NONE,False,
0022500030,2025-11-07T00:00:00Z,Atlanta Hawks,Toronto Raptors,,,,,,,,,IGNORE,NONE,False,
0022500031,2025-11-07T00:00:00Z,Brooklyn Nets,Detroit Pistons,,,,,,,,,IGNORE,NONE,False,
0022500032,2025-11-07T00:00:00Z,San Antonio Spurs,Houston Rockets,,,,,,,,,IGNORE,NONE,False,
0022500033,2025-11-07T00:00:00Z,Miami Heat,Charlotte Hornets,,,,,,,,,IGNORE,NONE,False,
0022500034,2025-11-07T00:00:00Z,Memphis Grizzlies,Dallas Mavericks,,,,,,,,,IGNORE,NONE,False,
0022500035,2025-11-07T00:00:00Z,Milwaukee Bucks,Chicago Bulls,,,,,,,,,IGNORE,NONE,False,
0022500036,2025-11-07T00:00:00Z,Minnesota Timberwolves,Utah Jazz,,,,,,,,,IGNORE,NONE,False,
0022500037,2025-11-07T00:00:00Z,Denver Nuggets,Golden State Warriors,,,,,,,,,IGNORE,NONE,False,
0022500038,2025-11-07T00:00:00Z,Sacramento Kings,Oklahoma City Thunder,,,,,,,,,IGNORE,NONE,False,
0022500039,2025-11-14T00:00:00Z,New York Knicks,Miami Heat,,,,,,,,,IGNORE,NONE,False,
0022500040,2025-11-14T00:00:00Z,Orlando Magic,Brooklyn Nets,,,,,,,,,IGNORE,NONE,False,
0022500041,2025-11-14T00:00:00Z,Detroit Pistons,Philadelphia 76ers,,,,,,,,,IGNORE,NONE,False,
0022500042,2025-11-14T00:00:00Z,Houston Rockets,Portland Trail Blazers,,,,,,,,,IGNORE,NONE,False,
0022500043,2025-11-14T00:00:00Z,Milwaukee Bucks,Charlotte Hornets,,,,,,,,,IGNORE,NONE,False,
0022500044,2025-11-14T00:00:00Z,Minnesota Timberwolves,Sacramento Kings,,,,,,,,,IGNORE,NONE,False,
0022500045,2025-11-14T00:00:00Z,New Orleans Pelicans,Los Angeles Lakers,,,,,,,,,IGNORE,NONE,False,
0022500046,2025-11-14T00:00:00Z,Dallas Mavericks,LA Clippers,,,,,,,,,IGNORE,NONE,False,
0022500047,2025-11-14T00:00:00Z,San Antonio Spurs,Golden State Warriors,,,,,,,,,IGNORE,NONE,False,
0022500048,2025-11-21T00:00:00Z,Cleveland Cavaliers,Indiana Pacers,,,,,,,,,IGNORE,NONE,False,
0022500049,2025-11-21T00:00:00Z,Boston Celtics,Brooklyn Nets,,,,,,,,,IGNORE,NONE,False,
0022500050,2025-11-21T00:00:00Z,Toronto Raptors,Washington Wizards,,,,,,,,,IGNORE,NONE,False,
