game_id,game_date,season_year,side,team_id,team,abbr,opponent_side,opponent_team_id,opponent,opponent_abbr,points_scored,points_allowed,went_ot,ot_minutes,rest_days,rest_bucket,fatigue_flag,fatigue_score,fatigue_diff_home_minus_away,avg_points_for,avg_points_against,net_rating,last5_points_for,last5_points_against,net_rating_last5,team_3pm,team_3pa,team_3pt_pct,injury_impact,num_out,num_questionable
0012500040,2025-10-09T00:00:00Z,2025,away,1610612739,Cleveland Cavaliers,CLE,home,1610612741,Chicago Bulls,CHI,112,119,False,0,1,1_day,True,0.4,0.0,,,,,,,16,41,0.3902,0.0,0,0
0012500041,2025-10-09T00:00:00Z,2025,home,1610612749,Milwaukee Bucks,MIL,away,1610612765,Detroit Pistons,DET,117,111,False,0,2,2_days,True,0.15,0.0,,,,,,,18,36,0.5,0.0,0,0
0012500041,2025-10-09T00:00:00Z,2025,away,1610612765,Detroit Pistons,DET,home,1610612749,Milwaukee Bucks,MIL,111,117,False,0,2,2_days,True,0.15,0.0,128.0,112.0,16.0,,,,10,33,0.303,0.0,0,0
0012500042,2025-10-09T00:00:00Z,2025,home,1610612760,Oklahoma City Thunder,OKC,away,1610612766,Charlotte Hornets,CHA,122,116,False,0,2,2_days,True,0.15,0.15,,,,,,,15,43,0.3488,0.0,0,0
0012500042,2025-10-09T00:00:00Z,2025,away,1610612766,Charlotte Hornets,CHA,home,1610612760,Oklahoma City Thunder,OKC,116,122,False,0,3,3_plus_days,False,0.0,0.15,,,,,,,16,43,0.3721,0.0,0,0
0012500012,2025-10-10T00:00:00Z,2025,home,1610612751,Brooklyn Nets,BKN,away,1610612756,Phoenix Suns,PHX,127,132,True,5,1873,3_plus_days,True,0.35,0.0,,,,,,,14,29,0.4828,0.0,0,0
0012500012,2025-10-10T00:00:00Z,2025,away,1610612756,Phoenix Suns,PHX,home,1610612751,Brooklyn Nets,BKN,132,127,True,5,6,3_plus_days,True,0.35,0.0,103.0,81.0,22.0,,,,11,42,0.2619,0.0,0,0
0012500017,2025-10-10T00:00:00Z,2025,home,1610612757,Portland Trail Blazers,POR,away,1610612758,Sacramento Kings,SAC,124,123,False,0,1,1_day,True,0.4,0.0,,,,,,,10,37,0.2703,0.0,0,0
0012500017,2025-10-10T00:00:00Z,2025,away,1610612758,Sacramento Kings,SAC,home,1610612757,Portland Trail Blazers,POR,123,124,False,0,1,1_day,True,0.4,0.0,,,,,,,11,34,0.3235,0.0,0,0
0012500044,2025-10-10T00:00:00Z,2025,home,1610612761,Toronto Raptors,TOR,away,1610612738,Boston Celtics,BOS,107,105,False,0,1,1_day,True,0.4,0.0,108.0,112.0,-4.0,,,,16,46,0.3478,0.0,0,0
0012500044,2025-10-10T00:00:00Z,2025,away,1610612738,Boston Celtics,BOS,home,1610612761,Toronto Raptors,TOR,105,107,False,0,1,1_day,True,0.4,0.0,121.0,103.0,18.0,,,,10,38,0.2632,0.0,0,0
0012500045,2025-10-10T00:00:00Z,2025,home,1610612759,San Antonio Spurs,SAS,away,1610612762,Utah Jazz,UTA,134,130,True,5,1,1_day,True,0.75,0.0,,,,,,,13,48,0.2708,0.0,0,0
0012500045,2025-10-10T00:00:00Z,2025,away,1610612762,Utah Jazz,UTA,home,1610612759,San Antonio Spurs,SAS,130,134,True,5,1,1_day,True,0.75,0.0,127.0,140.0,-13.0,,,,14,41,0.3415,0.0,0,0
0012500070,2025-10-10T00:00:00Z,2025,home,1610612755,Philadelphia 76ers,PHI,away,1610612753,Orlando Magic,ORL,98,128,False,0,5,3_plus_days,False,0.0,0.0,104.0,113.0,-9.0,,,,8,34,0.2353,0.0,0,0
0012500070,2025-10-10T00:00:00Z,2025,away,1610612753,Orlando Magic,ORL,home,1610612755,Philadelphia 76ers,PHI,128,98,False,0,5,3_plus_days,False,0.0,0.0,126.0,118.0,8.0,,,,11,32,0.3438,0.0,0,0
