all_time_snapshot_count,away_abbr,away_avg_points_against,away_avg_points_for,away_fatigue_flag,away_fatigue_score,away_last5_points_against,away_last5_points_for,away_net_rating,away_net_rating_last5,away_points,away_rest_bucket,away_rest_days,away_team,away_team_3pa,away_team_3pm,away_team_3pt_pct,away_team_id,consensus_book_count,fatigue_diff_home_minus_away,game_date,game_id,home_abbr,home_avg_points_against,home_avg_points_for,home_fatigue_flag,home_fatigue_score,home_injury_impact,home_last5_points_against,home_last5_points_for,home_net_rating,home_net_rating_last5,home_num_out,home_num_questionable,home_points,home_rest_bucket,home_rest_days,home_team,home_team_3pa,home_team_3pm,home_team_3pt_pct,home_team_id,moneyline_away_consensus,moneyline_away_consensus_all_time,moneyline_away_last,moneyline_home_consensus,moneyline_home_consensus_all_time,moneyline_home_last,nba_game_day_local,odds_commence_time_utc,odds_join_method,odds_snapshot_last_utc,ot_minutes,season_year,spread_away_consensus,spread_away_consensus_all_time,spread_away_last,spread_home_consensus,spread_home_consensus_all_time,spread_home_last,total_consensus,total_consensus_all_time,total_last,went_ot
,DEN,108.0,112.0,False,0.0,,,4.0,,102,3_plus_days,5,Denver Nuggets,42,15,0.3571,1610612743,,0.0,2025-10-12T00:00:00Z,0012500052,LAC,,,False,0.0,0.0,,,,,0,0,94,3_plus_days,1852,LA Clippers,37,9,0.2432,1610612746,,,,,,,2025-10-12,,,,0,2025,,,,,,,,,,False
,MIA,120.0,104.0,True,1.95,,,-16.0,,118,b2b,0,Miami Heat,34,5,0.1471,1610612748,,-1.2,2025-10-13T00:00:00Z,0012500019,ATL,,,True,0.75,0.0,,,,,0,0,119,1_day,1,Atlanta Hawks,48,12,0.25,1610612737,,,,,,,2025-10-13,,,,5,2025,,,,,,,,,,True
,SAS,107.0,112.0,True,0.15,,,5.0,,124,2_days,2,San Antonio Spurs,37,15,0.4054,1610612759,,0.25,2025-10-13T00:00:00Z,0012500053,IND,101.0,116.0,True,0.4,0.0,,,15.0,,0,0,108,1_day,1,Indiana Pacers,41,19,0.4634,1610612754,,,,,,,2025-10-13,,,,0,2025,,,,,,,,,,False
,WAS,,,True,1.6,,,,,120,b2b,0,Washington Wizards,36,14,0.3889,1610612764,,-1.6,2025-10-13T00:00:00Z,0012500054,NYK,89.5,99.5,False,0.0,0.0,,,10.0,,0,0,103,3_plus_days,3,New York Knicks,42,13,0.3095,1610612752,,,,,,,2025-10-13,,,,0,2025,,,,,,,,,,False
,DAL,,,True,0.4,,,,,114,1_day,1,Dallas Mavericks,53,15,0.283,1610612742,,-0.25,2025-10-13T00:00:00Z,0012500056,UTA,,,True,0.15,0.0,,,,,0,0,101,2_days,2,Utah Jazz,37,11,0.2973,1610612762,,,,,,,2025-10-13,,,,0,2025,,,,,,,,,,False
,HOU,,,False,0.0,,,,,130,3_plus_days,5,Houston Rockets,36,11,0.3056,1610612745,,0.0,2025-10-14T00:00:00Z,0012500020,NOP,,,False,0.0,0.0,,,,,0,0,128,3_plus_days,1887,New Orleans Pelicans,38,9,0.2368,1610612740,,,,,,,2025-10-14,,,,0,2025,,,,,,,,,,False
,GSW,126.0,116.0,True,0.4,,,-10.0,,118,1_day,1,Golden State Warriors,50,18,0.36,1610612744,,-0.4,2025-10-14T00:00:00Z,0012500021,POR,123.0,124.0,False,0.0,0.0,,,1.0,,0,0,111,3_plus_days,3,Portland Trail Blazers,43,9,0.2093,1610612757,,,,,,,2025-10-14,,,,0,2025,,,,,,,,,,False
,DET,114.5,119.5,False,0.0,,,5.0,,100,3_plus_days,4,Detroit Pistons,24,8,0.3333,1610612765,,0.4,2025-10-14T00:00:00Z,0012500057,CLE,118.0,117.0,True,0.4,0.0,,,-1.0,,0,0,118,1_day,1,Cleveland Cavaliers,43,17,0.3953,1610612739,,,,,,,2025-10-14,,,,0,2025,,,,,,,,,,False
,OKC,112.0,108.33333333333333,True,0.15,,,-3.6666666666666714,,116,2_days,2,Oklahoma City Thunder,43,16,0.3721,1610612760,,0.25,2025-10-14T00:00:00Z,0012500058,MIL,111.0,117.0,True,0.4,0.0,,,6.0,,0,0,112,1_day,1,Milwaukee Bucks,45,18,0.4,1610612749,,,,,,,2025-10-14,,,,0,2025,,,,,,,,,,False
,CHI,117.0,118.0,True,0.4,,,1.0,,117,1_day,1,Chicago Bulls,38,13,0.3421,1610612741,,0.0,2025-10-14T00:00:00Z,0012500059,DEN,126.0,116.0,True,0.4,0.0,,,-10.0,,0,0,124,1_day,1,Denver Nuggets,33,9,0.2727,1610612743,,,,,,,2025-10-14,,,,0,2025,,,,,,,,,,False
,LAL,111.0,103.0,True,0.4,,,-8.0,,104,1_day,1,Los Angeles Lakers,33,11,0.3333,1610612747,,0.0,2025-10-14T00:00:00Z,0012500060,PHX,111.0,109.0,True,0.4,0.0,,,-2.0,,0,0,113,1_day,1,Phoenix Suns,42,16,0.381,1610612756,,,,,,,2025-10-14,,,,0,2025,,,,,,,,,,False
,DAL,101.0,114.0,True,0.4,,,13.0,,121,1_day,1,Dallas Mavericks,31,9,0.2903,1610612742,,1.2,2025-10-15T00:00:00Z,0012500005,LAL,109.5,103.5,True,1.6,0.0,,,-6.0,,0,0,94,b2b,0,Los Angeles Lakers,41,12,0.2927,1610612747,,,,,,,2025-10-15,,,,0,2025,,,,,,,,,,False
,LAC,,,True,0.15,,,,,109,2_days,2,LA Clippers,31,11,0.3548,1610612746,,-0.15,2025-10-15T00:00:00Z,0012500022,SAC,130.0,122.0,False,0.0,0.0,,,-8.0,,0,0,91,3_plus_days,4,Sacramento Kings,42,9,0.2143,1610612758,,,,,,,2025-10-15,,,,0,2025,,,,,,,,,,False
,MEM,,,False,0.0,,,,,116,3_plus_days,3,Memphis Grizzlies,60,26,0.4333,1610612763,,0.0,2025-10-15T00:00:00Z,0012500061,CHA,135.0,114.0,False,0.0,0.0,,,-21.0,,0,0,145,3_plus_days,3,Charlotte Hornets,50,20,0.4,1610612766,,,,,,,2025-10-15,,,,0,2025,,,,,,,,,,False
