game_id,away_team,home_team,away_score,home_score,margin_home_minus_away,actual_total,vegas_spread_home,vegas_total,model,projected_margin,spread_edge,projected_total,total_edge,model_spread_pick,model_total_pick,model_spread_result,model_total_result,model_parlay_result,authority_spread_pick,authority_total_pick,authority_spread_result,authority_total_result,confidence_tier,arbitration_cluster,selection_authority,is_authority
0022500686,Oklahoma City Thunder,Minnesota Timberwolves,111,123,12,234,6.5,228.0,InjuryModel_v2,2.786923076923074,-3.713076923076926,226.71307692307693,-1.286923076923074,HOME,UNDER,WIN,LOSS,LOSS,HOME,UNDER,WIN,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500686,Oklahoma City Thunder,Minnesota Timberwolves,111,123,12,234,6.5,228.0,Joel_Baseline_v1,2.786923076923074,-3.713076923076926,226.71307692307693,-1.286923076923074,HOME,UNDER,WIN,LOSS,LOSS,HOME,UNDER,WIN,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,True
0022500686,Oklahoma City Thunder,Minnesota Timberwolves,111,123,12,234,6.5,228.0,MonkeyDarts_v2,-2.1585136708229564,-8.658513670822956,232.95206360057244,4.952063600572444,HOME,OVER,WIN,WIN,WIN,HOME,UNDER,WIN,LOSS,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500687,Toronto Raptors,Orlando Magic,120,130,10,250,-2.5,219.0,FatiguePlus_v3,0.4921428571428521,2.992142857142852,227.55214285714288,8.552142857142883,AWAY,OVER,LOSS,WIN,LOSS,AWAY,OVER,LOSS,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500687,Toronto Raptors,Orlando Magic,120,130,10,250,-2.5,219.0,InjuryModel_v2,0.4921428571428521,2.992142857142852,228.03214285714287,9.032142857142873,AWAY,OVER,LOSS,WIN,LOSS,AWAY,OVER,LOSS,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500687,Toronto Raptors,Orlando Magic,120,130,10,250,-2.5,219.0,Joel_Baseline_v1,0.4921428571428521,2.992142857142852,228.03214285714287,9.032142857142873,AWAY,OVER,LOSS,WIN,LOSS,AWAY,OVER,LOSS,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,True
0022500687,Toronto Raptors,Orlando Magic,120,130,10,250,-2.5,219.0,MonkeyDarts_v2,2.16583415059195,4.66583415059195,232.38175802260983,13.38175802260983,AWAY,OVER,LOSS,WIN,LOSS,AWAY,OVER,LOSS,WIN,MODERATE,CLUSTER_A,Joel_Baseline_v1,False
0022500688,Los Angeles Lakers,Washington Wizards,142,111,-31,253,10.0,230.0,FatiguePlus_v3,4.421428571428555,-5.578571428571445,229.345,-0.6550000000000011,HOME,UNDER,LOSS,LOSS,LOSS,HOME,OVER,LOSS,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500688,Los Angeles Lakers,Washington Wizards,142,111,-31,253,10.0,230.0,InjuryModel_v2,2.321428571428555,-7.678571428571445,231.625,1.625,HOME,OVER,LOSS,WIN,LOSS,HOME,OVER,LOSS,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,False
0022500688,Los Angeles Lakers,Washington Wizards,142,111,-31,253,10.0,230.0,Joel_Baseline_v1,2.321428571428555,-7.678571428571445,231.625,1.625,HOME,OVER,LOSS,WIN,LOSS,HOME,OVER,LOSS,WIN,HIGH,CLUSTER_A,Joel_Baseline_v1,True
