game_id,game_date,odds_commence_time_utc,odds_commence_time_cst,season_year,went_ot,ot_minutes,home_team_id,home_team,home_abbr,home_points,home_rest_days,home_rest_bucket,home_fatigue_flag,home_fatigue_score,home_avg_points_for,home_avg_points_against,home_net_rating,away_team_id,away_team,away_abbr,away_points,away_rest_days,away_rest_bucket,away_fatigue_flag,away_fatigue_score,away_avg_points_for,away_avg_points_against,away_net_rating,home_team_3pm,home_team_3pa,home_team_3pt_pct,away_team_3pm,away_team_3pa,away_team_3pt_pct,avg_team_3pm,avg_team_3pa,avg_team_3pt_pct,home_away_3pt_pct_diff,spread_home,spread_away,total,moneyline_home,moneyline_away,odds_source_used,Projected Home Score,Projected Away score,Total Projection,Total Bet,Home Line Projection,Line Bet,Spread Edge,Total Edge,Parlay Edge Score,Explanation,Line Result,odds_snapshot_utc,odds_match_method,Decision Factors,actionability,agent_override_confidence_delta,agent_override_pick,agent_override_reason,all_time_snapshot_count,confidence_reason,consensus_book_count,fatigue_diff_home_minus_away,home_injury_impact,home_num_out,home_num_questionable,moneyline_away_consensus,moneyline_away_consensus_all_time,moneyline_away_last,moneyline_home_consensus,moneyline_home_consensus_all_time,moneyline_home_last,nba_game_day_local,odds_commence_time_raw,odds_join_method,odds_snapshot_last_utc,spread_away_consensus,spread_away_consensus_all_time,spread_away_last,spread_home_consensus,spread_home_consensus_all_time,spread_home_last,total_consensus,total_consensus_all_time,total_last
0012500070,2025-10-10T00:00:00Z,,,2025,False,0,1610612755,Philadelphia 76ers,PHI,98,5,3_plus_days,False,0.0,115.0,105.0,10.0,1610612753,Orlando Magic,ORL,128,5,3_plus_days,False,0.0,115.0,126.0,-11.0,8,34,0.2353,11,32,0.3438,,,,,,,,,,LAST,120.5,110.0,230.5,,-10.5,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-10,,,,,,,,,,,,
0012500018,2025-10-11T00:00:00Z,,,2025,False,0,1610612763,Memphis Grizzlies,MEM,116,2,2_days,True,0.15,120.4,113.0,7.4,1610612737,Atlanta Hawks,ATL,122,4,3_plus_days,False,0.0,120.5,137.5,-17.0,14,47,0.2979,9,31,0.2903,,,,,,,,,,LAST,128.95,116.75,245.7,,-12.199999999999989,,,,,,,,,{},NONE,,,,,No model signal,,0.15,0.0,0,0,,,,,,,2025-10-11,,,,,,,,,,,,
0012500046,2025-10-11T00:00:00Z,,,2025,False,0,1610612754,Indiana Pacers,IND,116,3,3_plus_days,False,0.0,124.0,127.5,-3.5,1610612760,Oklahoma City Thunder,OKC,101,1,1_day,True,0.4,123.19,107.86,15.33,12,48,0.25,12,37,0.3243,,,,,,,,,,LAST,115.93,125.345,241.275,,9.414999999999992,,,,,,,,,{},NONE,,,,,No model signal,,-0.4,0.0,0,0,,,,,,,2025-10-11,,,,,,,,,,,,
0012500047,2025-10-11T00:00:00Z,,,2025,False,0,1610612742,Dallas Mavericks,DAL,116,4,3_plus_days,False,0.0,105.33,118.0,-12.67,1610612766,Charlotte Hornets,CHA,120,1,1_day,True,0.4,116.78,117.22,-0.44,10,27,0.3704,16,39,0.4103,,,,,,,,,,LAST,111.275,117.39,228.66500000000002,,6.114999999999995,,,,,,,,,{},NONE,,,,,No model signal,,-0.4,0.0,0,0,,,,,,,2025-10-11,,,,,,,,,,,,
0012500004,2025-10-12T00:00:00Z,,,2025,False,0,1610612747,Los Angeles Lakers,LAL,126,6,3_plus_days,False,0.0,109.0,119.0,-10.0,1610612744,Golden State Warriors,GSW,116,3,3_plus_days,False,0.0,108.5,104.0,4.5,12,27,0.4444,14,43,0.3256,,,,,,,,,,LAST,106.5,113.75,220.25,,7.25,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-12,,,,,,,,,,,,
0012500013,2025-10-12T00:00:00Z,,,2025,False,0,1610612756,Phoenix Suns,PHX,109,1,1_day,True,0.4,111.5,104.56,6.94,1610612751,Brooklyn Nets,BKN,111,1,1_day,True,0.4,101.88,114.94,-13.06,13,38,0.3421,17,40,0.425,,,,,,,,,,LAST,113.22,103.22,216.44,,-10.0,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-12,,,,,,,,,,,,
0012500048,2025-10-12T00:00:00Z,,,2025,False,0,1610612764,Washington Wizards,WAS,112,,unknown,False,0.0,,,,1610612761,Toronto Raptors,TOR,113,1,1_day,True,0.4,116.36,111.07,5.29,9,31,0.2903,14,49,0.2857,,,,,,,,,,LAST,,,,,,,,,,,,,,{},NONE,,,,,No model signal,,-0.4,0.0,0,0,,,,,,,2025-10-12,,,,,,,,,,,,
0012500049,2025-10-12T00:00:00Z,,,2025,False,0,1610612753,Orlando Magic,ORL,120,1,1_day,True,0.4,116.11,111.06,5.06,1610612748,Miami Heat,MIA,104,3,3_plus_days,False,0.0,110.0,124.0,-14.0,13,40,0.325,9,33,0.2727,,,,,,,,,,LAST,120.055,110.53,230.585,,-9.525000000000006,,,,,,,,,{},NONE,,,,,No model signal,,0.4,0.0,0,0,,,,,,,2025-10-12,,,,,,,,,,,,
0012500050,2025-10-12T00:00:00Z,,,2025,False,0,1610612738,Boston Celtics,BOS,138,1,1_day,True,0.4,113.19,105.25,7.94,1610612739,Cleveland Cavaliers,CLE,107,2,2_days,True,0.15,122.33,114.67,7.67,18,45,0.4,12,60,0.2,,,,,,,,,,LAST,113.93,113.78999999999999,227.72,,-0.14000000000001478,,,,,,,,,{},NONE,,,,,No model signal,,0.25,0.0,0,0,,,,,,,2025-10-12,,,,,,,,,,,,
0012500051,2025-10-12T00:00:00Z,,,2025,False,0,1610612741,Chicago Bulls,CHI,121,2,2_days,True,0.15,120.33,106.67,13.67,1610612749,Milwaukee Bucks,MIL,127,2,2_days,True,0.15,96.17,116.67,-20.5,11,41,0.2683,20,48,0.4167,,,,,,,,,,LAST,118.5,101.42,219.92000000000002,,-17.08,,,,,,,,,{},NONE,,,,,No model signal,,0.0,0.0,0,0,,,,,,,2025-10-12,,,,,,,,,,,,
